word,article,plural,definition,lesson
Tag,der,Tage,day,4
Rentner,der,Rentner,senior citizen,4
Kamm,der,Kämme,comb,4
Herd,der,Herde,stove,4
Topf,der,Töpfe,pot,4
Drucker,der,Drucker,printer,4
USB-Stick,der,USB-Sticks,USB stick,4
Support,der,Supporte,support,4
Chat,der,Chats,chat,4
Status,der,,status,4
Tarif,der,Tarife,tariff/rate/price,4
Podcast,der,Podcasts,podcast,4
Partner,der,Partner,partner,4
Kindergarten,der,Kindergärten,kindergarten,4
Firma,die,Firmen,firm/company,4
Visitenkarte,die,Visitenkarten,business card,4
Arbeit,die,Arbeiten,work/job,4
Polizistin,die,Polizistinnen,police officer,4
Managerin,die,Managerinnen,manager,4
IT-Ingenieurin,die,IT-Ingenieurinnen,IT engineer,4
Taxifahrerin,die,Taxifahrerinnen,taxi driver,4
Rentnerin,die,Rentnerinnen,senior citizen,4
Party,die,Partys,party,4
Schere,die,Scheren,scissors,4
Bürste,die,Bürsten,brush,4
Küche,die,Küchen,kitchen,4
Maus,die,Mäuse,mouse,4
Software,die,Softwares,software,4
SMS,die,SMS,sms,4
Show,die,Shows,show,4
Partnerin,die,Partnerinnen,partner,4
U-Bahn,die,U-Bahnen,subway,4
Pause,die,Pausen,break,4
Viertel,das,Viertel,quarter,4
T-Shirt,das,T-Shirts,Tshirt,4
Büro,das,Büros,office,4
Telefon,das,Telefone,phone,4
Telefongespräch,das,Telefongespräche,phone conversation,4
Internet,das,,internet,4
Radio,das,Radios,radio,4
Interview,das,Interviews,interview,4
Licht,das,Lichter,light,4
Kind,das,kinder,child,4
